caseNumber,caseStatus,caseSubmitted,decisionDate,employerName,jobTitle,socCode,socTitle,fullTimePosition,wageFrom,wageTo,wageUnit,prevailingWage,pwUnit,worksiteCity,worksiteState,worksitePostalCode,annualizedWage,sourceFile
I-200-26090-743679,Certified,,2026-04-07T00:00:00,"Anthropic, PBC",Account Executive (Life Sciences),13-1161.00,Market Research Analysts and Marketing Specialists,Y,159328,217500,Year,159328,Year,San Francisco,CA,94105,159328,FY2026_Q3
I-200-26090-743699,Certified,,2026-04-07T00:00:00,"Anthropic, PBC",Member of Technical Staff (Claude.AI Engineer),15-1252.00,Software Developers,Y,213512,405000,Year,213512,Year,San Francisco,CA,94105,213512,FY2026_Q3
I-200-26092-753545,Certified,,2026-04-09T00:00:00,"Anthropic, PBC","Member of Technical Staff (Research Engr, AI Observability)",15-1221.00,Computer and Information Research Scientists,Y,134139,500000,Year,134139,Year,San Francisco,CA,94105,134139,FY2026_Q3
I-200-26092-753558,Certified,,2026-04-09T00:00:00,"Anthropic, PBC",Member of Technical Staff (Big Machines),15-1252.00,Software Developers,Y,161637,350000,Year,161637,Year,San Francisco,CA,94105,161637,FY2026_Q3
I-200-26094-757432,Certified,,2026-04-10T00:00:00,"Anthropic, PBC",Member of Technical Staff (Post-Training),15-1252.00,Software Developers,Y,189592,500000,Year,160805,Year,New York,NY,10013,189592,FY2026_Q3
I-200-26104-793688,Certified,,2026-04-21T00:00:00,"Anthropic, PBC",Member of Technical Staff (Manager),11-3021.00,Computer and Information Systems Managers,Y,274456,485000,Year,274456,Year,San Francisco,CA,94105,274456,FY2026_Q3
I-200-26106-799691,Certified,,2026-04-22T00:00:00,"Anthropic, PBC",Member of Technical Staff (Post-Training),15-1252.00,Software Developers,Y,131997,500000,Year,131997,Year,New York,NY,10013,131997,FY2026_Q3
I-200-26110-811575,Certified,,2026-04-27T00:00:00,"Anthropic, PBC",Member of Technical Staff (AI Inference),15-1252.00,Software Developers,Y,213512,320000,Year,213512,Year,San Francisco,CA,94105,213512,FY2026_Q3
I-200-26111-816374,Certified,,2026-04-28T00:00:00,"Anthropic, PBC",Member of Technical Staff (Post-Training),15-1252.00,Software Developers,Y,189592,500000,Year,131997,Year,New York,NY,10013,189592,FY2026_Q3
I-200-26113-824386,Certified,,2026-04-29T00:00:00,"Anthropic, PBC","Member of Technical Staff (Mgr, Claude App Infrastructure)",11-3021.00,Computer and Information Systems Managers,Y,286270,485000,Year,274456,Year,San Francisco,CA,94105,286270,FY2026_Q3
I-200-26113-826598,Certified,,2026-04-30T00:00:00,"Anthropic, PBC",Member of Technical Staff (Core Tech),15-1252.00,Software Developers,Y,264514,300000,Year,161637,Year,San Francisco,CA,94105,264514,FY2026_Q3
I-200-26114-831892,Certified,,2026-05-01T00:00:00,"Anthropic, PBC",Member of Technical Staff (Machine Learning),15-1252.00,Software Developers,Y,226138,850000,Year,187574,Year,San Francisco,CA,94105,226138,FY2026_Q3
I-200-26114-834655,Certified,,2026-05-01T00:00:00,"Anthropic, PBC",Member of Technical Staff (Enterprise Apps),15-1252.00,Software Developers,Y,213512,320000,Year,213512,Year,San Francisco,CA,94105,213512,FY2026_Q3
I-200-26115-834713,Certified,,2026-05-01T00:00:00,"Anthropic, PBC",Member of Technical Staff (AI Inference),15-1252.00,Software Developers,Y,213512,405000,Year,213512,Year,San Francisco,CA,94105,213512,FY2026_Q3
